1	3404823
2	62530
3	9389
4	8436
5	12402
6	22133
7	36657
8	55319
9	76788
10	103286
11	132301
12	160503
13	188241
14	211641
15	230428
16	243380
17	250645
18	249613
19	240459
20	226766
21	210435
22	191617
23	169317
24	146927
25	127036
26	107618
27	89525
28	74247
29	59811
30	47224
31	37865
32	30302
33	23502
34	18036
35	14180
36	10990
37	8151
38	6268
39	4785
40	3713
41	2853
42	2281
43	1853
44	1474
45	1221
46	976
47	782
48	706
49	625
50	589
51	540
52	513
53	504
54	490
55	479
56	435
57	402
58	312
59	343
60	275
61	294
62	274
63	292
64	254
65	260
66	187
67	195
68	186
69	195
70	192
71	166
72	173
73	173
74	180
75	159
76	161
77	182
78	170
79	147
80	162
81	143
82	117
83	160
84	152
85	169
86	135
87	133
88	144
89	113
90	135
91	124
92	104
93	106
94	101
95	82
96	88
97	83
98	91
99	75
100	79
101	49
102	65
103	69
104	77
105	76
106	79
107	118
108	103
109	102
110	107
111	107
112	79
113	84
114	75
115	82
116	84
117	58
118	71
119	71
120	46
121	56
122	55
123	38
124	34
125	44
126	39
127	38
128	41
129	50
130	55
131	38
132	47
133	46
134	42
135	33
136	32
137	45
138	41
139	36
140	43
141	36
142	51
143	48
144	48
145	49
146	36
147	62
148	55
149	49
150	33
151	37
152	27
153	34
154	32
155	31
156	35
157	34
158	33
159	22
160	13
161	16
162	16
163	21
164	15
165	19
166	15
167	19
168	14
169	16
170	18
171	35
172	24
173	19
174	15
175	21
176	8
177	12
178	11
179	15
180	11
181	12
182	12
183	17
184	10
185	12
186	13
187	14
188	8
189	13
190	14
191	13
192	12
193	15
194	6
195	7
196	12
197	6
198	9
199	10
200	11
201	13
202	8
203	13
204	11
205	12
206	10
207	7
208	14
209	7
210	9
211	5
212	10
213	22
214	18
215	16
216	12
217	19
218	13
219	19
220	11
221	20
222	15
223	18
224	13
225	11
226	9
227	17
228	16
229	10
230	10
231	7
232	10
233	9
234	7
235	12
236	7
237	9
238	8
239	11
240	11
241	10
242	4
243	9
244	8
245	4
246	8
247	7
248	7
249	3
250	9
251	6
252	5
253	6
254	1
255	5
256	4
257	6
258	5
259	2
260	6
261	3
262	4
263	8
264	4
265	5
266	2
267	1
268	6
269	2
270	4
271	4
272	1
273	3
274	2
275	1
276	4
277	6
278	1
279	6
280	2
281	4
282	5
283	6
284	1
285	3
286	0
287	2
288	2
289	0
290	1
291	0
292	2
